PreferredLoginDevice,PreferredPaymentMode,PreferedOrderCat,MaritalStatus,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
1,4,2,2,4.0,6.0,3.0,3,2,9,11.0,1.0,1.0,5.0,159.93,1
2,4,2,2,0.0,15.0,2.0,4,5,8,23.0,0.0,1.0,3.0,134.07,1
0,4,4,2,0.0,22.0,3.0,5,5,2,22.0,4.0,6.0,7.0,139.19,1
1,4,0,2,11.0,6.0,3.0,4,3,10,13.0,0.0,1.0,0.0,153.81,1
2,1,3,2,0.0,11.0,2.0,3,3,2,13.0,2.0,2.0,2.0,134.41,1
2,0,3,0,0.0,15.0,3.0,4,3,1,17.0,0.0,1.0,0.0,133.88,1
1,3,0,2,9.0,15.0,3.0,4,2,2,16.0,0.0,4.0,7.0,196.19,1
1,5,2,2,0.0,11.0,2.0,4,3,2,11.0,1.0,1.0,3.0,157.44,1
0,4,2,2,0.0,13.0,3.0,5,3,2,24.0,1.0,1.0,6.0,160.74,1
1,4,4,0,19.0,20.0,3.0,3,4,10,18.0,1.0,4.0,3.0,149.63,1
1,4,2,0,0.0,12.0,3.0,5,3,5,18.0,6.0,7.0,7.0,161.72,1
1,3,0,0,20.0,29.0,3.0,3,2,2,12.0,11.0,15.0,6.0,203.12,1
2,4,2,0,0.0,26.0,3.0,5,3,4,11.0,1.0,2.0,2.0,145.59,1
0,4,0,2,14.0,14.0,2.0,5,2,3,15.0,0.0,1.0,3.0,206.5,1
2,3,4,2,0.0,15.0,2.0,3,5,8,22.0,1.0,1.0,4.0,142.0,1
1,5,0,0,8.0,6.0,3.0,3,4,2,13.0,1.0,1.0,6.0,172.95,0
0,5,0,2,5.0,14.0,2.0,3,2,2,14.0,2.0,3.0,7.0,189.98,0
0,1,2,0,2.0,6.0,2.0,3,3,2,13.0,0.0,1.0,9.0,143.19,0
1,3,2,0,0.0,13.0,2.0,4,3,3,17.0,1.0,1.0,0.0,161.32,0
2,0,3,0,30.0,15.0,3.0,4,4,5,20.0,1.0,1.0,0.0,133.46,0
1,5,0,0,13.0,10.0,3.0,4,2,8,11.0,2.0,2.0,11.0,208.55,0
1,4,0,1,30.0,30.0,2.0,2,2,4,16.0,1.0,1.0,4.0,194.39,0
1,4,0,0,3.0,11.0,2.0,3,2,3,12.0,2.0,7.0,4.0,194.19,0
1,4,2,2,11.0,6.0,2.0,4,2,5,22.0,1.0,1.0,1.0,186.86,0
1,4,2,1,18.0,10.0,1.0,3,5,5,11.0,0.0,1.0,3.0,150.06,0
2,4,4,1,29.0,14.0,3.0,3,5,5,18.0,1.0,2.0,2.0,142.57,0
1,4,4,2,0.0,8.0,2.0,4,2,2,22.0,0.0,1.0,0.0,111.02000000000001,1
1,5,0,1,19.0,6.0,3.0,3,5,2,25.0,4.0,15.0,7.0,204.53,0
2,3,4,0,4.0,18.0,3.0,3,2,9,23.0,1.0,1.0,2.0,139.29,0
2,3,4,0,23.0,6.0,2.0,4,3,3,15.0,0.0,1.0,2.0,136.9,0
2,3,2,1,26.0,19.0,2.0,2,5,2,11.0,1.0,1.0,3.0,144.5,0
0,4,2,0,7.0,8.0,2.0,4,3,2,17.0,0.0,1.0,9.0,195.47,0
1,4,2,0,0.0,29.0,2.0,4,3,4,13.0,1.0,1.0,1.0,159.16,1
2,4,4,0,10.0,27.0,3.0,2,5,2,12.0,0.0,1.0,7.0,135.64,0
0,3,2,2,8.0,8.0,2.0,3,4,6,11.0,1.0,1.0,2.0,144.25,0
0,3,2,1,15.0,27.0,2.0,3,3,3,16.0,0.0,1.0,2.0,152.65,0
1,4,2,0,11.0,8.0,2.0,3,3,10,14.0,0.0,1.0,0.0,165.53,0
1,1,2,0,11.0,35.0,2.0,3,2,4,18.0,0.0,1.0,7.0,162.61,0
0,1,2,0,0.0,6.0,2.0,4,5,6,19.0,0.0,2.0,0.0,142.98,0
0,4,2,1,22.0,24.0,3.0,3,2,2,15.0,0.0,1.0,7.0,168.04,0
0,3,4,1,7.0,16.0,2.0,3,3,2,17.0,2.0,2.0,0.0,138.15,0
1,3,2,0,1.0,35.0,3.0,3,5,8,19.0,0.0,1.0,0.0,166.73,1
1,5,0,0,0.0,33.0,2.0,3,2,2,22.0,1.0,1.0,9.0,176.39,1
0,4,2,0,13.0,15.0,3.0,4,2,10,14.0,1.0,1.0,2.0,148.76,0
1,3,0,1,19.0,6.0,3.0,3,5,8,16.0,0.0,1.0,3.0,193.96,0
1,3,0,0,0.0,10.0,2.0,5,2,2,11.0,7.0,9.0,8.0,204.0,1
